x,y
0.00E+00,3.535151428
3.00E-03,3.535475711
6.00E-03,3.536434086
9.00E-03,3.537983649
1.20E-02,3.540054597
1.50E-02,3.542552707
1.80E-02,3.545362657
2.10E-02,3.548352051
2.40E-02,3.551375978
2.70E-02,3.55428192
3.00E-02,3.556914816
3.30E-02,3.559122075
3.60E-02,3.560758361
3.90E-02,3.561689972
4.20E-02,3.561798665
4.50E-02,3.560984818
4.80E-02,3.559169831
5.10E-02,3.556297741
5.40E-02,3.552336022
5.70E-02,3.547275604
6.00E-02,3.541130169
6.30E-02,3.533934803
6.60E-02,3.525744119
6.90E-02,3.516629952
7.20E-02,3.506678784
7.50E-02,3.495989
7.80E-02,3.484668122
8.10E-02,3.472830128
8.40E-02,3.460592954
8.70E-02,3.448076264
9.00E-02,3.435399536
9.30E-02,3.422680492
9.60E-02,3.410033872
9.90E-02,3.397570527
0.102,3.385396755
0.105,3.373613825
0.108,3.36231757
0.111,3.351597958
0.114,3.341538534
0.117,3.332215654
0.12,3.323697465
0.123,3.31604261
0.126,3.309298731
0.129,3.303500847
0.132,3.298669802
0.135,3.294810962
0.138,3.291913396
0.141,3.289949773
0.144,3.273352692
0.147,3.258849
0.15,3.242205388
0.153,3.228373669
0.156,3.217318379
0.159,3.207717346
0.162,3.199895138
0.165,3.192639738
0.168,3.18603356
0.171,3.179504167
0.174,3.178267417
0.177,3.176064888
0.18,3.171642196
0.183,3.176210252
0.186,3.172767491
0.189,3.17952971
0.192,3.177850239
0.195,3.186435445
0.198,3.190497253
0.201,3.197731169
0.204,3.206578573
0.207,3.216258723
0.21,3.228426245
0.213,3.240993472
0.216,3.255626814
0.219,3.271276159
0.222,3.28852117
0.225,3.308030639
0.228,3.328474281
0.231,3.349801234
0.234,3.373752805
0.237,3.399091257
0.24,3.425805478
0.243,3.452151618
0.246,3.481629361
0.249,3.512537682
0.252,3.544756689
0.255,3.578127045
0.258,3.610896558
0.261,3.646780551
0.264,3.684106561
0.267,3.722397221
0.27,3.761876276
0.273,3.802036751
0.276,3.843169592
0.279,3.885510276
0.282,3.929606802
0.285,3.974729018
0.288,4.020979235
0.291,4.068230709
0.294,4.11659035
0.297,4.165882286
0.3,4.216199916
0.303,4.267863349
0.306,4.320757808
0.309,4.374744798
0.312,4.429878086
0.315,4.486037678
0.318,4.543284549
0.321,4.601558047
0.324,4.660887365
0.327,4.721226049
0.33,4.782485769
0.333,4.844696391
0.336,4.907917545
0.339,4.971976941
0.342,5.036833136
0.345,5.102418786
0.348,5.168668622
0.351,5.235473477
0.354,5.302815359
0.357,5.370600985
0.36,5.438749227
0.363,5.507223883
0.366,5.575929455
0.369,5.644827066
0.372,5.713803002
0.375,5.782896051
0.378,5.852017673
0.381,5.921132156
0.384,5.990211128
0.387,6.059253212
0.39,6.126397579
0.393,6.193990022
0.396,6.260448107
0.399,6.327168479
0.402,6.394027088
0.405,6.459595888
0.408,6.526525881
0.411,6.592711589
0.414,6.659727778
0.417,6.726013874
0.42,6.792800752
0.423,6.86002636
0.426,6.927523538
0.429,6.995531078
0.432,7.063092927
0.435,7.131384378
0.438,7.200015418
0.441,7.26839012
0.444,7.339192043
0.447,7.408194669
0.45,7.479581796
0.453,7.549467444
0.456,7.617413849
0.459,7.69031182
0.462,7.757435134
0.465,7.828155316
0.468,7.896340354
0.471,7.96230943
0.474,8.028720378
0.477,8.090586569
0.48,8.15277633
0.483,8.212695114
0.486,8.270340192
0.489,8.323262696
0.492,8.374850223
0.495,8.421235056
0.498,8.464833833
0.501,8.506018899
0.504,8.543181708
0.507,8.575437663
0.51,8.60406219
0.513,8.628537193
0.516,8.649716745
0.519,8.668301809
0.522,8.685495933
0.525,8.699242394
0.528,8.710202424
0.531,8.719274821
0.534,8.726664803
0.537,8.732589107
0.54,8.737755021
0.543,8.742670986
0.546,8.746759441
0.549,8.750273121
0.552,8.754041946
0.555,8.757891482
0.558,8.762151075
0.561,8.767411894
0.564,8.774345275
0.567,8.781985624
0.57,8.790979362
0.573,8.801286169
0.576,8.813289364
0.579,8.826843951
0.582,8.842276119
0.585,8.85970761
0.588,8.878941285
0.591,8.900150327
0.594,8.922981781
0.597,8.947877691
0.6,8.974453819
0.603,9.00307884
0.606,9.033652288
0.609,9.066060433
0.612,9.10038999
0.615,9.13720812
0.618,9.176102866
0.621,9.217186074
0.624,9.26054414
0.627,9.305802824
0.63,9.353381583
0.633,9.403123911
0.636,9.455332023
0.639,9.509925363
0.642,9.567025158
0.645,9.626508046
0.648,9.688278374
0.651,9.752550799
0.654,9.819280782
0.657,9.888602714
0.66,9.960583584
0.663,10.03510188
0.666,10.11219022
0.669,10.19175886
0.672,10.27374706
0.675,10.35810496
0.678,10.44475337
0.681,10.53361055
0.684,10.62459436
0.687,10.71760908
0.69,10.81259028
0.693,10.90943899
0.696,11.00808739
0.699,11.10845603
0.702,11.21048303
0.705,11.31410527
0.708,11.41928155
0.711,11.52595989
0.714,11.6342605
0.717,11.74447258
0.72,11.85577103
0.723,11.96844947
0.726,12.08237664
0.729,12.19763439
0.732,12.31419484
0.735,12.43202563
0.738,12.55108859
0.741,12.67133864
0.744,12.79272317
0.747,12.91518179
0.75,13.03864646
0.753,13.16313927
0.756,13.2883824
0.759,13.4162022
0.762,13.56355771
0.765,13.71094657
0.768,13.85958995
0.771,14.00635064
0.774,14.14863049
0.777,14.2969384
0.78,14.44041374
0.783,14.58167047
0.786,14.72233323
0.789,14.86426567
0.792,15.00228737
0.795,15.14214424
0.798,15.27730839
0.801,15.41291436
0.804,15.54963606
0.807,15.68368409
0.81,15.81834138
0.813,15.94947616
0.816,16.08296476
0.819,16.21466547
0.822,16.34437921
0.825,16.47737145
0.828,16.60920686
0.831,16.73733319
0.834,16.86446071
0.837,16.98757359
0.84,17.11127079
0.843,17.23124009
0.846,17.35146919
0.849,17.47077633
0.852,17.58905158
0.855,17.70703307
0.858,17.82584373
0.861,17.94615187
0.864,18.06675988
0.867,18.18774753
0.87,18.30497489
0.873,18.42295162
0.876,18.54012213
0.879,18.65722701
0.882,18.77517906
0.885,18.89271991
0.888,19.01142397
0.891,19.12946807
0.894,19.24749791
0.897,19.36661512
0.9,19.48638788
0.903,19.60611974
0.906,19.72793423
0.909,19.84814822
0.912,19.96996143
0.915,20.09214261
0.918,20.21462742
0.921,20.33995004
0.924,20.4631739
0.927,20.59037538
0.93,20.71554892
0.933,20.84275895
0.936,20.96776018
0.939,21.09507954
0.942,21.22177346
0.945,21.34822148
0.948,21.47437178
0.951,21.59830103
0.954,21.72574502
0.957,21.85538257
0.96,21.98572223
0.963,22.11686046
0.966,22.25231669
0.969,22.39818277
0.972,22.54284034
0.975,22.68470762
0.978,22.82405331
0.981,22.96089165
